authors,source,class
Wendy Gittleson,addictinginfo,f
,eaglerising,f
Tony Elliott,eaglerising,f
John Prager,addictinginfo,f
,proudcons,f
,allenwestrepublic,f
Philip Hodges,eaglerising,f
Fed Up,tffpercentfedup,f
Matt Barber,eaglerising,f
,conservativebyte,f
Crispin White,goo,f
Bob Amoroso,usherald,f
Tony Elliott,eaglerising,f
Kevin Jackson,theblacksphere,f
,,f
,winningdemocrats,f
Bob Amoroso,usherald,f
,allenwestrepublic,f
Campus Reform,eaglerising,f
Dale Summitt,eaglerising,f
Jim Bowman,eaglerising,f
,,f
,eaglerising,f
,,f
,,f
,freedomdaily,f
,groopspeak,f
,,f
Elvin Bartley,goo,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
,proudcons,f
Fed Up,tffpercentfedup,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
Stephen D Foster Jr,addictinginfo,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
,freedomdaily,f
"Rich Witmer,Doug Giles",clashdaily,f
Blair Patterson,goo,f
,freedomdaily,f
,,f
,,f
,freedomdaily,f
Wendy Gittleson,author.addictinginfo,f
,freedomdaily,f
Blair Patterson,yesimright,f
"Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
,eaglerising,f
"Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
,,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
Tiffiny Ruegner,rightwingnews,f
,winningdemocrats,f
Terresa Monroe-hamilton,rightwingnews,f
Cassy Fiano,rightwingnews,f
Tiffiny Ruegner,rightwingnews,f
"Philip Hodges,",eaglerising,f
Sierra Marlee,rightwingnews,f
,thepoliticalinsider,f
Mockarena Cotr,chicksontheright,f
Sierra Marlee,rightwingnews,f
Terresa Monroe-hamilton,rightwingnews,f
Terresa Monroe-hamilton,rightwingnews,f
Ryan Denson,addictinginfo,f
"Martin Lioll,John Falkenberg,Ben Marquis,Kimberly J Smith,Martin Walsh,V Saxena,Benjamin Arie",conservativetribune,f
"Scott Osborn,Terresa Monroe-hamilton,Mr Wendal,Max Jackson",ihavethetruth,f
Sierra Marlee,rightwingnews,f
Kevin Jackson,theblacksphere,f
"Scott Osborn,Mr Wendal",ihavethetruth,f
Terresa Monroe-hamilton,rightwingnews,f
Featured Commentator,thepoliticalinsider,f
Tiffiny Ruegner,rightwingnews,f
Terresa Monroe-hamilton,rightwingnews,f
Cassy Fiano,rightwingnews,f
Cassy Fiano,rightwingnews,f
Cassy Fiano,rightwingnews,f
Terresa Monroe-hamilton,rightwingnews,f
"Martin Lioll,John Falkenberg,Ben Marquis,Kimberly J Smith,Martin Walsh,V Saxena,Benjamin Arie",conservativetribune,f
"Rich Witmer,Doug Giles",clashdaily,f
,thepoliticalinsider,f
Lisa Smith,rightwingnews,f
Leonora Cravotta,eaglerising,t
"More Candace,Adam Kelsey,Abc News,More Adam",abcn,t
Cassy Fiano,rightwingnews,t
"Jack Shafer,Erick Trickey,Zachary Karabell",politi,t
"John Parkinson,More John,Abc News,More Alexander",abcn,t
Cassy Fiano,rightwingnews,t
"More Veronica,Ryan Struyk,More Ryan,Meghan Keneally,More Shushannah,Abc News,More Meghan,Veronica Stracqualursi",abcn,t
"More Michael,Abc News",abcn,t
Ashley Killough,cnn,t
"Jack Shafer,Steven Shepard,Glenn Thrush,Nolan D,Shane Goldmacher",politi,t
"Jack Shafer,Jeff Greenfield",politi,t
"Mj Lee,Cnn National Politics Reporter",cnn,t
"Jack Shafer,Politico Staff,Kyle Cheney",politi,t
"More Josh,Abc News,Josh Margolin",abcn,t
"Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
Tom Lobianco,cnn,t
Philip Hodges,eaglerising,t
"Jack Shafer,Louis Nelson",politi,t
Terresa Monroe-hamilton,rightwingnews,t
"Jack Shafer,Yousef Saba",politi,t
Philip Hodges,eaglerising,t
"Madeline Conway,Burgess Everett,Katie Glueck,Jack Shafer",politi,t
"Joyce Tseng,Eli Watkins",cnn,t
"Jack Shafer,Louis Nelson",politi,t
"Jack Shafer,Nolan D",politi,t
"Jack Shafer,Michael Hirsh,Mikhail Zygar,Bruce Blair,Peter Edelman,Adam Walinsky",politi,t
Terresa Monroe-hamilton,rightwingnews,t
Eric Bradner,cnn,t
,opposingviews,t
Sierra Marlee,rightwingnews,t
"Jack Shafer,Louis Nelson",politi,t
"Barbara Starr,Cnn Pentagon Correspondent",cnn,t
"Latest Posts,Michael Hayne",ifyouonlynews,t
,conservativebyte,t
Hadas Gold,politi,t
"Abc News,More Arlette",abcn,t
David Wright,cnn,t
,freedomdaily,t
Abc News,abcn,t
Eli Watkins,cnn,t
Hadas Gold,politi,t
Onan Coca,eaglerising,t
"Dan Merica,Eugene Scott",cnn,t
"Jack Shafer,Nolan D",politi,t
"Kevin Liptak,Cnn White House Producer",cnn,t
Laura Koran,cnn,t
Jeremy Diamond,cnn,t
Jack Shafer,politi,t
Oliver Willis,addictinginfo,t
"Latest Posts,Jameson Parker",ifyouonlynews,t
"Jack Shafer,Louis Nelson",politi,t
,washingtonpost,t
"Deirdre Walsh,Cnn Senior Congressional Producer",cnn,t
Sierra Marlee,rightwingnews,t
"Jack Shafer,Burgess Everett",politi,t
"Brianna Ehley,Jack Shafer",politi,t
Oliver Willis,addictinginfo,t
Philip Hodges,eaglerising,t
"Nick Gass,Jack Shafer",politi,t
John Hawkins,rightwingnews,t
Dan Merica,cnn,t
Josh Gerstein,politi,t
Ryan Browne,cnn,t
"More Meghan,Abc News",abcn,t
"Jack Shafer,Daniel Strauss",politi,t
Josh Gerstein,politi,t
"Manu Raju,Senior Political Reporter",cnn,t
"Jack Shafer,Nolan D",politi,t
Dominique Debucquoy-dodley,cnn,t
"Jack Shafer,Nolan D",politi,t
John Couwels,cnn,t
Rika Christensen,addictinginfo,t
Betsy Klein,cnn,t
,addictinginfo,t
"Jack Shafer,Louis Nelson",politi,t
Steven Shepard,politi,t
,winningdemocrats,t
Leonora Cravotta,eaglerising,t
Brian Stelter,cnn,t
"Nick Gass,Jack Shafer",politi,t
"More Stephanie,Emily Shapiro,Jj Gallagher,Stephanie Wash,Michael Edison Hayden,Mike Levine,More Rhonda,More Emily,More Michael,Abc News",abcn,t
"Jack Shafer,Louis Nelson,Matthew Nussbaum,Shane Goldmacher",politi,t
"Nick Gass,Madeline Conway,Jack Shafer",politi,t
"Kevin Liptak,Cnn White House Producer",cnn,t
Eric Bradner,cnn,t
"Jack Shafer,Julia Ioffe",politi,t
Jeff Dunetz,eaglerising,t
"Edward-isaac Dovere,Eli Stokols,Politico Staff,Jack Shafer",politi,t
Tal Kopan,cnn,t
,addictinginfo,t
"Jack Shafer,Kyle Cheney,Daniel Strauss,Daniel Lippman,Eli Stokols,Glenn Thrush,Brent Griffiths",politi,t
"Brett Bose,Grant Stern,Steve Bernstein,Natalie Dickinson",occupydemocrats,f
,rightwingnews,f
"Tom Lobianco,Deirdre Walsh",cnn,f
Nancy Wells,newsbake,f
"Jack Shafer,Lisa Rab",politi,f
"Daniel Lippman,Jack Shafer,Jake Sherman,Anna Palmer",politi,f
"Jack Shafer,Nolan D",politi,f
"Nick Gass,Jack Shafer",politi,f
"More Michael,Abc News",abcn,f
"Jack Shafer,Nolan D,Shane Goldmacher",politi,f
"Eugene Scott,Daniella Diaz",cnn,f
Dan Merica,cnn,f
"Ben Schreckinger,Maggie Severns,Jack Shafer",politi,f
"Jack Shafer,Julian E",politi,f
Oliver Willis,addictinginfo,f
Sonja Bochow,rightwingnews,f
"Jack Shafer,Peter Edelman,Adam Walinsky",politi,f
"Jack Shafer,Mason Adams",politi,f
"Jack Shafer,Jeff Greenfield",politi,f
"John Bresnahan,Heather Caygle,Matthew Nussbaum,Jack Shafer",politi,f
Shannon Barber,addictinginfo,f
"Jack Shafer,Cristiano Lima,Louis Nelson",politi,f
Tim Brown,eaglerising,f
"Jack Shafer,Nolan D",politi,f
,freedomdaily,f
Shannon Barber,addictinginfo,f
"John Bresnahan,Heather Caygle,Jack Shafer",politi,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Jack Shafer,Nahal Toosi,Shane Goldmacher",politi,f
"Jack Shafer,Kyle Cheney,Alex Isenstadt,Gabriel Debenedetti,Brent Griffiths,Katie Glueck,Shane Goldmacher",politi,f
"Brent Griffiths,Jack Shafer",politi,f
